ID Encuestado;Alimento;Puntuacion
1;FRESA;8.12
2;CEBOLLAS;5.75
3;MELOCOTONES;7.47
4;FRESA;5.52
5;KIWI;7.67
6;UVA;7.68
7;PLÁTANOS;8.26
8;PIMIENTOS;5.69
9;FRESA;7
10;TOMATES;6.59
11;MELOCOTONES;5.38
12;PLÁTANOS;7.24
13;FRESA;8.62
14;PLÁTANOS;7.5
15;JUDIAS VERDES;7.26
16;MANZANAS;8.03
17;TOMATES;8.74
18;NARANJAS;8.08
19;MANZANAS;4.64
20;PIMIENTOS;7.58
21;PATATAS FRESCAS;4.99
22;LIMONES;9.48
23;PIMIENTOS;7.98
24;LIMONES;9.14
25;PLÁTANOS;6.62
26;FRESA;6.72
27;PATATAS FRESCAS;9.41
28;PLÁTANOS;6.23
29;LECHUGA;8.06
30;LECHUGA;8.31
31;NARANJAS;8.27
32;PLÁTANOS;7.53
33;MANDARINAS;6.58
34;PERAS;9.41
35;PLÁTANOS;8.29
36;CEBOLLAS;7.71
37;CEREZA;8.07
38;LIMONES;6.65
39;FRESA;5.34
40;CEREZA;7.28
41;PLÁTANOS;7.58
42;PATATAS FRESCAS;9.36
43;MELON;5.74
44;TOMATES;5.37
45;MELON;5.27
46;MELON;6.67
47;KIWI;9.12
48;PATATAS FRESCAS;7.95
49;SANDÍA;8.84
50;LECHUGA;6.15
51;MELOCOTONES;8.34
52;TOMATES;8.05
53;UVA;7.93
54;PATATAS FRESCAS;4
55;KIWI;9.46
56;MANZANAS;5.96
57;PLÁTANOS;5.15
58;MANZANAS;9.3
59;PERAS;4.63
60;MELON;6.19
61;MELOCOTONES;5.29
62;NARANJAS;5.27
63;MANZANAS;8.05
64;MANZANAS;7.37
65;TOMATES;2
66;FRESA;8.18
67;MELOCOTONES;9.49
68;MANDARINAS;9.14
69;UVA;6.65
70;NARANJAS;6
71;CEBOLLAS;8.61
72;NARANJAS;7.5
73;NARANJAS;5
74;PATATAS FRESCAS;4.66
75;SANDÍA;6.34
76;PIMIENTOS;7.52
77;TOMATES;9.01
78;PATATAS FRESCAS;5.17
79;PATATAS FRESCAS;6.25
80;TOMATES;5.35
81;PLÁTANOS;6.57
82;PIMIENTOS;8.01
83;MELOCOTONES;9.4
84;PLÁTANOS;6.23
85;NARANJAS;4
86;CIRUELA;8.35
87;PLÁTANOS;8.66
88;MANZANAS;5.33
89;MELON;5.05
90;PLÁTANOS;7.15
91;MELOCOTONES;5.9
92;NARANJAS;4
93;LIMONES;9.47
94;PIMIENTOS;7.5
95;CEREZA;8.56
96;PATATAS FRESCAS;7
97;MELON;4.86
98;NARANJAS;5.33
99;PLÁTANOS;5.28
100;PIMIENTOS;5.23
101;LIMONES;7.29
102;PERAS;5.04
103;NARANJAS;8.09
104;MANZANAS;6.27
105;COLES;8.56
106;LECHUGA;9
107;CEBOLLAS;6.49
108;MANZANAS;7.69
109;MANDARINAS;6.94
110;TOMATES;5.74
111;MANZANAS;4.7
112;NARANJAS;3
113;SANDÍA;8.65
114;PATATAS FRESCAS;8.73
115;CEBOLLAS;4.51
116;PATATAS FRESCAS;5.44
117;MELOCOTONES;4.93
118;TOMATES;6.24
119;MANDARINAS;5.12
120;PERAS;6.01
121;SANDÍA;8.33
122;SANDÍA;8.52
123;MANZANAS;5.43
124;PLÁTANOS;7.82
125;PERAS;9.04
126;PLÁTANOS;7.13
127;MELON;6.56
128;KIWI;5.06
129;KIWI;8.02
130;MANDARINAS;8.04
131;KIWI;9.05
132;MANDARINAS;8.85
133;MELON;8.15
134;CEREZA;8.34
135;TOMATES;7.32
136;PIMIENTOS;8.67
137;PLÁTANOS;9.44
138;JUDIAS VERDES;6.81
139;LECHUGA;6.48
140;MANZANAS;8.65
141;MANDARINAS;8.48
142;LIMONES;8.56
143;NARANJAS;4
144;SANDÍA;9.36
145;SANDÍA;5.81
146;MANZANAS;7.68
147;MELOCOTONES;6.19
148;TOMATES;7.73
149;MELOCOTONES;5.24
150;PLÁTANOS;6.53
151;MELON;6.14
152;FRESA;6.12
153;PIMIENTOS;6.13
154;PLÁTANOS;5.92
155;PERAS;6.16
156;MELON;9.07
157;TOMATES;7.69
158;PERAS;5.04
159;TOMATES;7.66
160;MANZANAS;8.44
161;TOMATES;2
162;PIMIENTOS;5.73
163;MANZANAS;5.38
164;PATATAS FRESCAS;4.83
165;CEBOLLAS;8.34
166;MANZANAS;6.17
167;PIMIENTOS;6.67
168;PLÁTANOS;7.85
169;PATATAS FRESCAS;8.07
170;FRESA;5.27
171;CEBOLLAS;7.07
172;SANDÍA;8.55
173;LECHUGA;5.68
174;KIWI;5.9
175;MELOCOTONES;7.75
176;FRESA;6.28
177;PLÁTANOS;8.88
178;CEREZA;8.1
179;SANDÍA;4.57
180;TOMATES;5.16
181;CIRUELA;8.25
182;ALBARICOQUE;7.76
183;PATATAS FRESCAS;9.41
184;MANDARINAS;8.84
185;CEREZA;6.71
186;CEBOLLAS;7.71
187;NARANJAS;8.06
188;TOMATES;8.69
189;PERAS;9.16
190;ALBARICOQUE;8.56
191;TOMATES;5.59
192;MANZANAS;4.86
193;PERAS;4.91
194;PATATAS FRESCAS;8.86
195;MELON;6.37
196;MANZANAS;7.66
197;TOMATES;6.35
198;CEBOLLAS;7.81
199;FRESA;8.74
200;SANDÍA;8.1
201;LECHUGA;6.4
202;PIMIENTOS;6.2
203;MANZANAS;9.22
204;MELON;6.55
205;NARANJAS;4.81
206;PATATAS FRESCAS;8.06
207;PATATAS FRESCAS;7.15
208;LECHUGA;5.71
209;MELON;5.81
210;PLÁTANOS;8.96
211;CEREZA;6.36
212;FRESA;9.43
213;PLÁTANOS;6.52
214;LIMONES;5.73
215;KIWI;8.46
